date,site,Borough,Pathway,NMCTR external delay,Total external delay days
17/06/2024,QEH,Other,Pathway 2,3,42
17/06/2024,QEH,Other,Pathway 3,1,6
17/06/2024,UHL,Bexley,Pathway 1,1,3
17/06/2024,UHL,Bexley,Pathway 3,3,42
17/06/2024,UHL,Greenwich,Pathway 0,1,7
17/06/2024,UHL,Greenwich,Pathway 1,1,13
17/06/2024,UHL,Greenwich,Pathway 2,1,5
17/06/2024,UHL,Greenwich,Pathway 3,3,36
17/06/2024,UHL,Lewisham,Pathway 0,2,12
17/06/2024,UHL,Lewisham,Pathway 1,8,70
17/06/2024,UHL,Lewisham,Pathway 2,5,53
17/06/2024,UHL,Lewisham,Pathway 3,11,151
17/06/2024,UHL,Other,Pathway 0,2,20
17/06/2024,UHL,Other,Pathway 1,2,22
17/06/2024,UHL,Other,Pathway 3,2,22
18/06/2024,QEH,Bexley,Pathway 0,1,4
18/06/2024,QEH,Bexley,Pathway 1,6,24
18/06/2024,QEH,Bexley,Pathway 2,6,74
18/06/2024,QEH,Bexley,Pathway 3,4,46
18/06/2024,QEH,Greenwich,Pathway 1,6,33
18/06/2024,QEH,Greenwich,Pathway 2,7,66
18/06/2024,QEH,Greenwich,Pathway 3,9,110
18/06/2024,QEH,Other,Pathway 0,1,10
18/06/2024,QEH,Other,Pathway 1,1,6
18/06/2024,QEH,Other,Pathway 2,3,45
18/06/2024,QEH,Other,Pathway 3,1,7
18/06/2024,UHL,Bexley,Pathway 3,2,29
18/06/2024,UHL,Greenwich,Pathway 0,1,8
18/06/2024,UHL,Greenwich,Pathway 1,1,14
18/06/2024,UHL,Greenwich,Pathway 3,3,39
18/06/2024,UHL,Lewisham,Pathway 0,2,7
18/06/2024,UHL,Lewisham,Pathway 1,10,74
18/06/2024,UHL,Lewisham,Pathway 2,4,46
18/06/2024,UHL,Lewisham,Pathway 3,10,147
18/06/2024,UHL,Other,Pathway 0,1,16
18/06/2024,UHL,Other,Pathway 1,2,24
18/06/2024,UHL,Other,Pathway 3,2,24
19/06/2024,QEH,Bexley,Pathway 0,2,2
19/06/2024,QEH,Bexley,Pathway 1,5,27
19/06/2024,QEH,Bexley,Pathway 2,6,62
19/06/2024,QEH,Bexley,Pathway 3,5,51
19/06/2024,QEH,Greenwich,Pathway 1,12,54
19/06/2024,QEH,Greenwich,Pathway 2,9,64
19/06/2024,QEH,Greenwich,Pathway 3,10,122
19/06/2024,QEH,Other,Pathway 0,1,11
19/06/2024,QEH,Other,Pathway 1,1,7
19/06/2024,QEH,Other,Pathway 2,4,56
19/06/2024,UHL,Bexley,Pathway 3,3,46
19/06/2024,UHL,Greenwich,Pathway 0,2,10
19/06/2024,UHL,Greenwich,Pathway 1,1,15
19/06/2024,UHL,Greenwich,Pathway 2,1,1
19/06/2024,UHL,Greenwich,Pathway 3,4,57
19/06/2024,UHL,Lewisham,Pathway 0,5,17
19/06/2024,UHL,Lewisham,Pathway 1,10,76
19/06/2024,UHL,Lewisham,Pathway 2,4,54
19/06/2024,UHL,Lewisham,Pathway 3,12,187
19/06/2024,UHL,Other,Pathway 1,3,24
19/06/2024,UHL,Other,Pathway 3,2,26
20/06/2024,QEH,Bexley,Pathway 0,2,3
20/06/2024,QEH,Bexley,Pathway 1,7,33
20/06/2024,QEH,Bexley,Pathway 2,8,56
20/06/2024,QEH,Bexley,Pathway 3,5,53
20/06/2024,QEH,Greenwich,Pathway 1,13,52
20/06/2024,QEH,Greenwich,Pathway 2,13,93
20/06/2024,QEH,Greenwich,Pathway 3,8,104
20/06/2024,QEH,Lewisham,Pathway 0,1,1
20/06/2024,QEH,Other,Pathway 0,1,12
20/06/2024,QEH,Other,Pathway 2,3,51
20/06/2024,QEH,Other,Pathway 3,1,8
20/06/2024,UHL,Bexley,Pathway 3,3,49
20/06/2024,UHL,Greenwich,Pathway 0,2,3
20/06/2024,UHL,Greenwich,Pathway 1,3,20
20/06/2024,UHL,Greenwich,Pathway 3,4,61
20/06/2024,UHL,Lewisham,Pathway 0,5,19
20/06/2024,UHL,Lewisham,Pathway 1,15,98
20/06/2024,UHL,Lewisham,Pathway 2,4,58
20/06/2024,UHL,Lewisham,Pathway 3,13,200
20/06/2024,UHL,Other,Pathway 1,3,27
20/06/2024,UHL,Other,Pathway 3,2,28
21/06/2024,QEH,Bexley,Pathway 0,4,6
21/06/2024,QEH,Bexley,Pathway 1,7,40
21/06/2024,QEH,Bexley,Pathway 2,8,46
21/06/2024,QEH,Bexley,Pathway 3,4,56
21/06/2024,QEH,Greenwich,Pathway 0,4,8
21/06/2024,QEH,Greenwich,Pathway 1,10,59
21/06/2024,QEH,Greenwich,Pathway 2,12,102
21/06/2024,QEH,Greenwich,Pathway 3,7,93
21/06/2024,QEH,Lewisham,Pathway 0,1,2
21/06/2024,QEH,Other,Pathway 0,1,13
21/06/2024,QEH,Other,Pathway 2,3,54
21/06/2024,QEH,Other,Pathway 3,1,9
21/06/2024,UHL,Bexley,Pathway 3,3,52
21/06/2024,UHL,Greenwich,Pathway 0,2,5
21/06/2024,UHL,Greenwich,Pathway 1,3,23
21/06/2024,UHL,Greenwich,Pathway 3,4,65
21/06/2024,UHL,Lewisham,Pathway 0,5,24
21/06/2024,UHL,Lewisham,Pathway 1,11,89
21/06/2024,UHL,Lewisham,Pathway 2,4,62
21/06/2024,UHL,Lewisham,Pathway 3,13,213
21/06/2024,UHL,Other,Pathway 1,2,11
21/06/2024,UHL,Other,Pathway 3,1,18
22/06/2024,QEH,Bexley,Pathway 0,4,10
22/06/2024,QEH,Bexley,Pathway 1,7,47
22/06/2024,QEH,Bexley,Pathway 2,10,56
22/06/2024,QEH,Bexley,Pathway 3,4,60
22/06/2024,QEH,Greenwich,Pathway 0,3,10
22/06/2024,QEH,Greenwich,Pathway 1,10,68
22/06/2024,QEH,Greenwich,Pathway 2,12,114
22/06/2024,QEH,Greenwich,Pathway 3,7,100
22/06/2024,QEH,Lewisham,Pathway 0,1,3
22/06/2024,QEH,Other,Pathway 0,1,14
22/06/2024,QEH,Other,Pathway 2,3,57
22/06/2024,QEH,Other,Pathway 3,1,10
22/06/2024,UHL,Bexley,Pathway 3,3,55
22/06/2024,UHL,Greenwich,Pathway 0,2,7
22/06/2024,UHL,Greenwich,Pathway 1,3,26
22/06/2024,UHL,Greenwich,Pathway 3,4,69
22/06/2024,UHL,Lewisham,Pathway 0,5,29
22/06/2024,UHL,Lewisham,Pathway 1,11,100
